data_pregao,1/N Portfolio (Equal Weights),Goal-Based: Aposentadoria Confortável,Markowitz MVO (Lookback: 120d),Naive Risk Parity (Lookback: 120d),SELIC,IPCA,IBOVESPA
2014-01-03,1.0015048848483152,,,,1.0,1.0,1.0
2014-01-06,1.00225738532093,,,,1.0003844168905276,1.000261163594957,0.999853475082624
2014-01-07,0.9940608446511764,,,,1.000768981557401,1.0005223953963371,0.9891906979627152
2014-01-08,0.9951795232925431,,,,1.0011536940574277,1.0007836954219538,0.9920666662874411
2014-01-09,0.9699818495183647,,,,1.0015385544474376,1.0010450636896246,0.967450480168235
2014-01-10,0.9770506065090403,,,,1.0019235627842815,1.0013065002171717,0.9748016372345119
2014-01-13,0.9727916923980201,,,,1.0023087191248334,1.0015680050224223,0.9695143826858157
2014-01-14,0.9785482482223175,,,,1.002694023525988,1.0018295781232078,0.9749320777566741
2014-01-15,0.9844215380867829,,,,1.0030794760446626,1.0020912195373648,0.9828226505161034
2014-01-16,0.9763180186813152,,,,1.0034650767377957,1.002352929282734,0.9747983026647725
2014-01-17,0.9695695419060364,,,,1.0038508256623482,1.002614707377161,0.9647078946330887
2014-01-20,0.9613763646738543,,,,1.004236722875303,1.0028765538384965,0.9554211179086209
2014-01-21,0.9576152047137099,,,,1.0046227684336644,1.003138468684595,0.9521583394941145
2014-01-22,0.9712566082535123,,,,1.005008962394459,1.0034004519333164,0.9670185553113911
2014-01-23,0.9543526314958768,,,,1.0053953048147348,1.0036625036025246,0.9478149643328537
2014-01-24,0.9430738161377628,,,,1.005781795751563,1.003924623710089,0.9373550075135703
2014-01-27,0.9420397476572718,,,,1.006168435262035,1.0041868122738828,0.935661634539395
2014-01-28,0.9450599990822544,,,,1.0065552234032653,1.0044490693117847,0.9384053969815083
2014-01-29,0.9394407756087171,,,,1.0069421602323902,1.0047113948416773,0.9328317617375383
2014-01-30,0.9338928207033439,,,,1.0073292458065681,1.0049737888814483,0.9267016456493967
2014-01-31,0.9400874968624332,,,,1.0077164801829785,1.0052362514489903,0.9344443204333213
2014-02-03,0.9151400944958993,,,,1.0081132932692944,1.0055654511504497,0.9051889632018458
2014-02-04,0.9282239719125257,,,,1.008510262610498,1.005894758659843,0.9212086285326577
2014-02-05,0.9219067165553143,,,,1.0089073882681185,1.006224174012476,0.9145428236234256
2014-02-06,0.9416159549791872,,,,1.0093046703037092,1.0065536972436653,0.9363881784402803
2014-02-07,0.9460642653653883,,,,1.0097021087788483,1.0068833283887397,0.9429692460478972
2014-02-10,0.9387977690868737,,,,1.010099703755137,1.0072130674830397,0.9358532742238347
2014-02-11,0.9497794778200754,,,,1.0104974552942017,1.0075429145619164,0.9506032530885471
2014-02-12,0.950270711360303,,,,1.0108953634576932,1.0078728696607335,0.9457798960359616
2014-02-13,0.9400395622313119,,,,1.0112934283072856,1.0082029328148658,0.9378542122186874
2014-02-14,0.9478190566981896,,,,1.0116916499046786,1.0085331040596999,0.9454703695036728
2014-02-17,0.9364755394704779,,,,1.0120900283115948,1.0088633834306335,0.9332152372575792
