,Total Return,Annualized Volatility,Sharpe Ratio,Sortino Ratio,Jensen's Alpha,Max Drawdown,Success Probability
1/N Portfolio (Equal Weights),2.173223632816363,0.183500728162446,0.3472935341459067,0.3651547623730694,0.0037237228848915893,-0.42437867016162467,
Goal-Based: Aposentadoria Confortável,2.5226851221079305,0.2708735426043404,0.35471231733096753,0.3077905545315326,0.020357215886512944,-0.5323158945769276,0.8181818181818182
Markowitz MVO (Lookback: 120d),1.4349315911181013,0.2139402974705515,0.2210341559146356,0.15028483198794446,-0.009515328053637001,-0.48753653456376894,
Naive Risk Parity (Lookback: 120d),2.0239122224636477,0.18210954142171895,0.336752362616719,0.33155198500174216,-0.0005307464752501573,-0.42262185648514816,
